Recipe_ID,Dish Name,Original Ingredient,Category,Quantity,Unit (Original),Standardised Ingredient,Unit (Standardised)
70,Roasted Fennel with Parmesan Bread Crumbs,"0.25 tsp, ground, Black pepper",Spices (Powder),0.25,tsp,"Ground, Black Pepper",tsp
70,Roasted Fennel with Parmesan Bread Crumbs,"1 tsp., Kosher Salt",Salt/Seasonings,1,tsp,Kosher Salt,tsp
70,Roasted Fennel with Parmesan Bread Crumbs,"1 Dash (300 mg), Salt (Dash = 0.125 or 1/8 Teaspoon)",Salt/Seasonings,1,Dash ( mg),Salt (Dash = 0.125 Or 1/8 Teaspoon),dash ( mg)
70,Roasted Fennel with Parmesan Bread Crumbs,"20 gram, Bread crumbs (panko)",Grains/Flour,20,gram,Bread Crumbs (Panko),g
70,Roasted Fennel with Parmesan Bread Crumbs,"2 tsp(s), Extra Virgin Olive Oil",Oils/Fats,2,tsp,Extra Virgin Olive Oil,tsp
70,Roasted Fennel with Parmesan Bread Crumbs,"29 g, Parmesan cheese",Dairy,29,g,Parmesan Cheese,g
70,Roasted Fennel with Parmesan Bread Crumbs,"650 g, Raw Fennel",Other,650,g,Fennel,g
70,Roasted Fennel with Parmesan Bread Crumbs,"1 tbsp(s), 100% Rapeseed Oil",Oils/Fats,1,tbsp,Rapeseed Oil,tbsp
71,Cocktail: Honey & Smoke Mezcal,"0.50 medium lime, 1 Whole Lime",Spices (Whole/Seeds),0.5,medium lime,1 Whole Lime,medium lime
71,Cocktail: Honey & Smoke Mezcal,"50 ml, Ginger Beer (2018)",Fresh Aromatics,50,ml,Ginger Beer (2018),ml
71,Cocktail: Honey & Smoke Mezcal,"2 tsp, Wild (Organic) Honey",Salt/Seasonings,2,tsp,Wild (Organic) Honey,tsp
71,Cocktail: Honey & Smoke Mezcal,"1.60 oz, Mezcal",Other,47.31, oz,Mezcal,ml
72,Roasted Brussels Sprouts with Warm Honey Glaze,"0.25 cup(s), Extra Virgin Olive Oil",Oils/Fats,0.25,cup,Extra Virgin Olive Oil,cup
72,Roasted Brussels Sprouts with Warm Honey Glaze,"0.50 tsp., Kosher Salt",Salt/Seasonings,0.5,tsp,Kosher Salt,tsp
72,Roasted Brussels Sprouts with Warm Honey Glaze,"20 gram, scallions",Other,20,gram,Scallions,g
72,Roasted Brussels Sprouts with Warm Honey Glaze,"0.33 cup, Vinegar, red wine",Citrus/Acid,0.33,cup,Red Wine Vinegar,cup
72,Roasted Brussels Sprouts with Warm Honey Glaze,"0.25 cup, Honey",Salt/Seasonings,0.25,cup,Honey,cup
72,Roasted Brussels Sprouts with Warm Honey Glaze,"1 dash (0g), Ground Black Pepper",Spices (Powder),1,dash (g),Ground Black Pepper,dash (g)
72,Roasted Brussels Sprouts with Warm Honey Glaze,"0.75 tsp(s), red pepper flakes",Vegetables,0.75,tsp,Red Pepper Flakes,tsp
72,Roasted Brussels Sprouts with Warm Honey Glaze,"1 tsp(s), Lemon Zest",Citrus/Acid,1,tsp,Lemon Zest,tsp
72,Roasted Brussels Sprouts with Warm Honey Glaze,"3 tbsp, Butter Unsalted",Oils/Fats,3,tbsp,Butter Unsalted,tbsp
72,Roasted Brussels Sprouts with Warm Honey Glaze,"24.50 oz (100g), Brussels Sprouts - Raw",Other,694.58, oz (g),Brussels Sprouts,g
74,Homemade Carrot Cake,"15 g, Walnuts",Nuts/Coconut,15,g,Walnuts,g
74,Homemade Carrot Cake,"40.80 g, Carrots",Vegetables,40.8,g,Carrots,g
74,Homemade Carrot Cake,"0.30 tsp. (0.7g), Ground Cinnamon",Spices (Powder),0.3,tsp (g),Ground Cinnamon,tsp (g)
74,Homemade Carrot Cake,"81.68 g, Sugar",Salt/Seasonings,81.68,g,Sugar,g
74,Homemade Carrot Cake,"0.06 tsp, Salt",Salt/Seasonings,0.06,tsp,Salt,tsp
74,Homemade Carrot Cake,"48.40 g, Plain Flour",Grains/Flour,48.4,g,Plain Flour,g
74,Homemade Carrot Cake,"0.15 g, Bicarbonate of Soda",Liquids,0.15,g,Bicarbonate Of Soda,g
74,Homemade Carrot Cake,"15 g, Desiccated Coconut",Nuts/Coconut,15,g,Desiccated Coconut,g
74,Homemade Carrot Cake,"1 large, Egg",Other,1,large,Egg,large
74,Homemade Carrot Cake,"0.15 1 gram, Baking powder",Spices (Powder),0.15,gram,Baking Powder,g
74,Homemade Carrot Cake,"60 ml, 100% Rapeseed Oil",Oils/Fats,60,ml,Rapeseed Oil,ml
74,Homemade Carrot Cake,"0.25 tsp, Spices, cloves, ground",Spices (Whole/Seeds),0.25,tsp,"Cloves, Ground",tsp
75,Cocktail: The French 75,"50 mL, Gin",Alcohol/Cocktail,50,mL,Gin,ml
75,Cocktail: The French 75,"4 ounces, Champagne",Other,113.4,ounces,Champagne,g
75,Cocktail: The French 75,"0.50 lemon yields, Lemon juice, raw",Citrus/Acid,0.5,lemon yields,Lemon Juice,lemon yields
75,Cocktail: The French 75,"0.50 tsp, Sugar",Salt/Seasonings,0.5,tsp,Sugar,tsp
76,Cocktail: Air Mail,"5 g, pine and fir tree raw honey",Salt/Seasonings,5,g,Pine And Fir Tree Raw Honey,g
76,Cocktail: Air Mail,"1.25 oz, Rum",Alcohol/Cocktail,36.96, oz,Dark Rum,ml
76,Cocktail: Air Mail,"125 ml, Champagne",Other,125,ml,Champagne,ml
76,Cocktail: Air Mail,"15 ml(s), Lime Juice",Citrus/Acid,15,ml,Lime Juice,ml
77,Cocktail: Champagne cocktail,"100 ml, Champagne",Other,100,ml,Champagne,ml
77,Cocktail: Champagne cocktail,"0.50 tsp, Sugar",Salt/Seasonings,0.5,tsp,Sugar,tsp
77,Cocktail: Champagne cocktail,"0.50 tsp, orange bitters",Alcohol/Cocktail,0.5,tsp,Orange Bitters,tsp
78,Zucchini/Courgette Chana dal Curry (Zucchini Senagapappu Kura):,"50 g (dry), Chana Dal (Dry)",Legumes/Dals,50,g (dry),Chana Dal (Dry),g (dry)
78,Zucchini/Courgette Chana dal Curry (Zucchini Senagapappu Kura):,"2 tsp(s), 100% Rapeseed Oil",Oils/Fats,2,tsp,Rapeseed Oil,tsp
78,Zucchini/Courgette Chana dal Curry (Zucchini Senagapappu Kura):,"100 grams, Onion",Vegetables,100,grams,Onion,g
78,Zucchini/Courgette Chana dal Curry (Zucchini Senagapappu Kura):,"25 gram, Shredded&nbsp;Coconut",Nuts/Coconut,25,gram,Shredded Coconut,g
78,Zucchini/Courgette Chana dal Curry (Zucchini Senagapappu Kura):,"0.25 tsp, Spices, chili powder",Spices (Powder),0.25,tsp,Chili Powder,tsp
78,Zucchini/Courgette Chana dal Curry (Zucchini Senagapappu Kura):,"900 g, Courgette",Other,900,g,Courgette,g
78,Zucchini/Courgette Chana dal Curry (Zucchini Senagapappu Kura):,"0.75 tsp, Salt",Salt/Seasonings,0.75,tsp,Salt,tsp
78,Zucchini/Courgette Chana dal Curry (Zucchini Senagapappu Kura):,"0.50 tsp(s), Spices, turmeric, ground",Spices (Powder),0.5,tsp,Ground Turmeric,tsp
79,Rava Idli (Soft & Fluffy),"4 pieces, Cashews",Nuts/Coconut,4,pieces,Cashews,pieces
79,Rava Idli (Soft & Fluffy),"0.25 Tsp (8 grams), Whole Cumin Seeds",Spices (Whole/Seeds),0.25,Tsp ( grams),Whole Cumin Seeds,tsp ( g)
79,Rava Idli (Soft & Fluffy),"0.25 tsp, Salt",Salt/Seasonings,0.25,tsp,Salt,tsp
79,Rava Idli (Soft & Fluffy),"3 g, Chana Dal Dry",Legumes/Dals,3,g,Chana Dal Dry,g
79,Rava Idli (Soft & Fluffy),"0.50 sprig, curry leaves",Fresh Aromatics,0.5,sprig,Curry Leaves,sprig
79,Rava Idli (Soft & Fluffy),"0.20 cup, chopped, Carrots",Vegetables,0.2,cup,"Chopped, Carrots",cup
79,Rava Idli (Soft & Fluffy),"5 g, Ginger Root Raw",Fresh Aromatics,5,g,Fresh Ginger,g
79,Rava Idli (Soft & Fluffy),"0.06 tsp, Asafoetida Powder - (Hing Spice)",Spices (Powder),0.06,tsp,Asafoetida Powder (Hing),tsp
79,Rava Idli (Soft & Fluffy),"0.25 teaspoon, Crown Baking Soda",Liquids,0.25,teaspoon,Crown Baking Soda,tsp
79,Rava Idli (Soft & Fluffy),"2 tsp(s), 100% Rapeseed Oil",Oils/Fats,2,tsp,Rapeseed Oil,tsp
79,Rava Idli (Soft & Fluffy),"60 g, Kefir Natural Organic  Fermented  Yoghurt",Dairy,60,g,Kefir Natural Organic Fermented Yoghurt,g
79,Rava Idli (Soft & Fluffy),"85 gram, Idli Sooji Rava",Grains/Flour,85,gram,Idli Sooji Rava,g
79,Rava Idli (Soft & Fluffy),"5 g, Finger Chillies",Vegetables,5,g,Finger Chillies,g
79,Rava Idli (Soft & Fluffy),"0.25 tsp(s), Mustard Seeds",Spices (Whole/Seeds),0.25,tsp,Mustard Seeds,tsp
79,Rava Idli (Soft & Fluffy),"60 g, Kefir Natural Organic",Other,60,g,Kefir Natural Organic,g
79,Rava Idli (Soft & Fluffy),Fermented,Other,#VALUE!,,#VALUE!,
79,Rava Idli (Soft & Fluffy),Yoghurt,Dairy,#VALUE!,,#VALUE!,
79,Rava Idli (Soft & Fluffy),"0.25 cup, Coriander (cilantro) leaves, raw",Fresh Aromatics,0.25,cup,Coriander (Cilantro) Leaves,cup
80,Cocktail: Pink Gin,"1.76 oz, Gin",Alcohol/Cocktail,52.04, oz,Gin,ml
80,Cocktail: Pink Gin,"0.38 tsp (2.5 ml), Aromatic Bitters",Alcohol/Cocktail,0.38,tsp ( ml),Aromatic Bitters,tsp ( ml)
80,Cocktail: Pink Gin,"3 ounces, Club soda",Liquids,88.71,ounces,Club Soda,ml
83,Dark Rum Daiquiri Recipe - Cocktails & Bars,"15 ml, Water",Liquids,15,ml,Water,ml
83,Dark Rum Daiquiri Recipe - Cocktails & Bars,"2.50 oz, Rum",Alcohol/Cocktail,73.93, oz,Dark Rum,ml
83,Dark Rum Daiquiri Recipe - Cocktails & Bars,"25 ml(s), Lime Juice",Citrus/Acid,25,ml,Lime Juice,ml
83,Dark Rum Daiquiri Recipe - Cocktails & Bars,"1.50 tsp, Sugar",Salt/Seasonings,1.5,tsp,Sugar,tsp
84,Sabzi - Shimla Mirch,"0.33 g, Coriander Cumin Powder",Spices (Powder),0.33,g,Coriander Cumin Powder,g
84,Sabzi - Shimla Mirch,"0.50 tsp(s), Spices, turmeric, ground",Spices (Powder),0.5,tsp,Ground Turmeric,tsp
84,Sabzi - Shimla Mirch,"2 tsp(s), Vegetable Oil (100% Rapeseed Oil) With Omega 3",Oils/Fats,2,tsp,Rapeseed Oil,tsp
84,Sabzi - Shimla Mirch,"400 grams, Green Bell Peppers",Vegetables,400,grams,Green Bell Peppers,g
84,Sabzi - Shimla Mirch,"1 tsp, Salt",Salt/Seasonings,1,tsp,Salt,tsp
84,Sabzi - Shimla Mirch,"160 g (typical tomato), Tomatoes on the Vine",Vegetables,160,g (typical tomato),Tomatoes On The Vine,g (typical tomato)
84,Sabzi - Shimla Mirch,"0.50 tsp(s), Red Chilli Powder",Spices (Powder),0.5,tsp,Red Chilli Powder,tsp
84,Sabzi - Shimla Mirch,"200 grams, Onion",Vegetables,200,grams,Onion,g
84,Sabzi - Shimla Mirch,"250 g, Potato",Vegetables,250,g,Potato,g
85,Cocktail: Dry Martini,"1 Dash, West Indian Orange Bitters",Alcohol/Cocktail,1,Dash,West Indian Orange Bitters,dash
85,Cocktail: Dry Martini,"0.50 fluid ounce, French Vermouth",Alcohol/Cocktail,14.79, fluid ounce,Dry Vermouth,ml
85,Cocktail: Dry Martini,"2.50 fluid ounce, London Dry Gin",Alcohol/Cocktail,73.93, fluid ounce,London Dry Gin,ml
86,Cocktail: Vodka Martini,"1 Dash, West Indian Orange Bitters",Alcohol/Cocktail,1,Dash,West Indian Orange Bitters,dash
86,Cocktail: Vodka Martini,"1 tbsp, Lemon peel, raw",Citrus/Acid,1,tbsp,Lemon Peel,tbsp
86,Cocktail: Vodka Martini,"0.50 oz, Dry Vermouth",Alcohol/Cocktail,14.79, oz,Dry Vermouth,ml
86,Cocktail: Vodka Martini,"2.50 oz, Vodka Original",Alcohol/Cocktail,73.93, oz,Vodka,ml
87,Cocktail: Proper Manhattan,"1 Cherry, Maraschino Cherry",Fruits,1,Cherry,Maraschino Cherries,fruit
87,Cocktail: Proper Manhattan,"0.25 tsp, orange bitters",Alcohol/Cocktail,0.25,tsp,Orange Bitters,tsp
87,Cocktail: Proper Manhattan,"1.69 oz., Kentucky Straight Rye Whiskey",Alcohol/Cocktail,49.97, oz,Kentucky Straight Rye Whiskey,ml
87,Cocktail: Proper Manhattan,"0.75 oz, Sweet Vermouth",Alcohol/Cocktail,22.18, oz,Sweet Vermouth,ml
88,Beetroot Cutlet,"3 gram, Fennel powder",Spices (Powder),3,gram,Fennel Powder,g
88,Beetroot Cutlet,"2 g, Chaat Masala Seasoning",Spices (Powder),2,g,Chaat Masala Seasoning,g
88,Beetroot Cutlet,"5 gram, Coriander Powder",Spices (Powder),5,gram,Coriander Powder,g
88,Beetroot Cutlet,"2.50 g, Garam Masala Powder",Spices (Powder),2.5,g,Garam Masala Powder,g
88,Beetroot Cutlet,"250 g, Beetroot",Vegetables,250,g,Beetroot,g
88,Beetroot Cutlet,"1 tsp. (10 g), Amchur Powder - Dry Mango Powder",Spices (Powder),1,tsp ( g),Amchur Powder - Dry Mango Powder,tsp ( g)
88,Beetroot Cutlet,"0.28 kg, Potato",Vegetables,0.28,kg,Potato,kg
88,Beetroot Cutlet,"5 g, Green Chillies",Vegetables,5,g,Green Chillies,g
88,Beetroot Cutlet,"1.25 grams, Turmeric Powder",Spices (Powder),1.25,grams,Turmeric Powder,g
88,Beetroot Cutlet,"2 tbsp(s), 100% Rapeseed Oil",Oils/Fats,2,tbsp,Rapeseed Oil,tbsp
88,Beetroot Cutlet,"2 tbsp, Corn starch",Vegetables,2,tbsp,Corn Starch,tbsp
88,Beetroot Cutlet,"0.50 cup, Sooji",Grains/Flour,0.5,cup,Sooji,cup
88,Beetroot Cutlet,"2 g, Kashmiri Chilly Powder",Spices (Powder),2,g,Kashmiri Chilly Powder,g
88,Beetroot Cutlet,"3 gram, Black salt",Salt/Seasonings,3,gram,Black Salt,g
88,Beetroot Cutlet,"1 tsp, Ginger",Fresh Aromatics,1,tsp,Fresh Ginger,tsp
89,Cocktail: Dante's Old Fashioned,"7 g, pine and fir tree raw honey",Salt/Seasonings,7,g,Pine And Fir Tree Raw Honey,g
89,Cocktail: Dante's Old Fashioned,"0.10 tsp(s), Normal Saline",Other,0.1,tsp,Normal Saline,tsp
89,Cocktail: Dante's Old Fashioned,"25 ml, Montenegro (Generic)",Alcohol/Cocktail,25,ml,Montenegro (Generic),ml
89,Cocktail: Dante's Old Fashioned,"0.50 tsp (2.5ml), Aromatic Bitters",Alcohol/Cocktail,0.5,tsp (ml),Aromatic Bitters,tsp (ml)
89,Cocktail: Dante's Old Fashioned,"1.35 oz., Kentucky Straight Rye Whiskey",Alcohol/Cocktail,39.92, oz,Kentucky Straight Rye Whiskey,ml
90,Gobhi Paranthas,"1 tsp, Cilantro",Fresh Aromatics,1,tsp,Cilantro,tsp
90,Gobhi Paranthas,"39.60 gms, Chakki atta",Grains/Flour,39.6,gms,Chakki Atta,g
90,Gobhi Paranthas,"1 tsp, Ginger root - Raw",Fresh Aromatics,1,tsp,Fresh Ginger,tsp
90,Gobhi Paranthas,"60 g, Cauliflower",Vegetables,60,g,Cauliflower,g
90,Gobhi Paranthas,"0.12 tsp, Salt",Salt/Seasonings,0.12,tsp,Salt,tsp
90,Gobhi Paranthas,"1.50 tsp(s), 100% Rapeseed Oil",Oils/Fats,1.5,tsp,Rapeseed Oil,tsp
90,Gobhi Paranthas,"1 g, Chilli Powder, Hot",Spices (Powder),1,g,"Chilli Powder, Hot",g
91,Rice Cakes And Peanut Butter,"1 cake, Rice Cakes  (no added salt)",Grains/Flour,1,cake,Rice Cakes (No Added Salt),cake
91,Rice Cakes And Peanut Butter,"10 g, Rich Roast Crunchy",Other,10,g,Rich Roast Crunchy,g
91,Rice Cakes And Peanut Butter,"1 cake, Rice Cakes",Grains/Flour,1,cake,Rice Cakes,cake
91,Rice Cakes And Peanut Butter,(no added salt),Salt/Seasonings,#VALUE!,,#VALUE!,
92,Gin & Diet Tonic,"0.25 tsp(s), Angostura Bitter",Alcohol/Cocktail,0.25,tsp,Angostura Bitter,tsp
92,Gin & Diet Tonic,"50 ml, Small batch Scottish gin",Alcohol/Cocktail,50,ml,Small Batch Scottish Gin,ml
92,Gin & Diet Tonic,"8 oz (with water), Diet Tonic",Liquids,236.56,oz (with water),Diet Tonic,ml
92,Gin & Diet Tonic,"0.15 medium, Orange",Citrus/Acid,0.15,medium,Orange,medium
93,Rava Upma,"1 tsp(s), 100% Rapeseed Oil",Oils/Fats,1,tsp,Rapeseed Oil,tsp
93,Rava Upma,"0.50 cup, roasted rava",Grains/Flour,0.5,cup,Roasted Rava,cup
93,Rava Upma,"1 Tsp (8 grams), Whole Cumin Seeds",Spices (Whole/Seeds),1,Tsp ( grams),Whole Cumin Seeds,tsp ( g)
93,Rava Upma,"0.50 tsp, Black Mustard Seeds",Spices (Whole/Seeds),0.5,tsp,Black Mustard Seeds,tsp
93,Rava Upma,"3 g, Finger Chillies",Vegetables,3,g,Finger Chillies,g
93,Rava Upma,"11 g, Curry Leaves Green",Fresh Aromatics,11,g,Curry Leaves Green,g
93,Rava Upma,"0.50 tsp, Salt",Salt/Seasonings,0.5,tsp,Salt,tsp
93,Rava Upma,"2 cup(s), Water",Liquids,2,cup,Water,cup
93,Rava Upma,"1 tsp, Ginger root - Raw",Fresh Aromatics,1,tsp,Fresh Ginger,tsp
93,Rava Upma,"3 g, Chana Dal Dry",Legumes/Dals,3,g,Chana Dal Dry,g
93,Rava Upma,"80 grams, Onion",Vegetables,80,grams,Onion,g
93,Rava Upma,"3 grams, Urad Dal",Legumes/Dals,3,grams,Urad Dal,g
93,Rava Upma,"2 tbsp, Cilantro",Fresh Aromatics,2,tbsp,Cilantro,tbsp
93,Rava Upma,"6 pieces, Cashews",Nuts/Coconut,6,pieces,Cashews,pieces
94,Methi Parantha,"1 tsp, Salt",Salt/Seasonings,1,tsp,Salt,tsp
94,Methi Parantha,"2.50 gram, Red Chilli Powder",Spices (Powder),2.5,gram,Red Chilli Powder,g
94,Methi Parantha,"130 gms, Chakki atta",Grains/Flour,130,gms,Chakki Atta,g
94,Methi Parantha,"100 g, Fenugreek Leaves (Methi)",Vegetables,100,g,Fenugreek Leaves (Methi),g
94,Methi Parantha,"100 grams, Onion",Vegetables,100,grams,Onion,g
94,Methi Parantha,"4 tsp(s), 100% Rapeseed Oil",Oils/Fats,4,tsp,Rapeseed Oil,tsp
95,Oomph And Mushroom Tacos,"100 g, Portobello Mushrooms",Vegetables,100,g,Portobello Mushrooms,g
95,Oomph And Mushroom Tacos,"85 g, Avocado",Other,85,g,Avocado,g
95,Oomph And Mushroom Tacos,"100 gram, Pulled Oumph - Team RH",Liquids,100,gram,Pulled Oumph - Team Rh,g
95,Oomph And Mushroom Tacos,"1 medium lime, 1 Whole Lime",Spices (Whole/Seeds),1,medium lime,1 Whole Lime,medium lime
95,Oomph And Mushroom Tacos,"4 tacos, Soft Tacos",Other,4,tacos,Soft Tacos,tacos
95,Oomph And Mushroom Tacos,"20 g, Red onion",Vegetables,20,g,Red Onion,g
95,Oomph And Mushroom Tacos,"1 tsp(s), 100% Rapeseed Oil",Oils/Fats,1,tsp,Rapeseed Oil,tsp
95,Oomph And Mushroom Tacos,"2 tbsp, lighter creme fraiche",Other,2,tbsp,Lighter Creme Fraiche,tbsp
96,Portobello Mushroom Tacos,"85 g, Avocado",Other,85,g,Avocado,g
96,Portobello Mushroom Tacos,"30 g, Onion",Vegetables,30,g,Onion,g
96,Portobello Mushroom Tacos,"4 tacos, Soft Tacos",Other,4,tacos,Soft Tacos,tacos
96,Portobello Mushroom Tacos,"125 g, Portobello Mushrooms",Vegetables,125,g,Portobello Mushrooms,g
96,Portobello Mushroom Tacos,"10 g, Reduced fat creme fraiche",Vegetables,10,g,Reduced Fat Creme Fraiche,g
97,Cocktail: Jaeger Bum Bum,"1.69 oz, Campari",Alcohol/Cocktail,49.97, oz,Campari,ml
97,Cocktail: Jaeger Bum Bum,"3 oz, Liquor",Other,85.05,oz,Liquor,g
97,Cocktail: Jaeger Bum Bum,"0.05 oz, Bitters",Alcohol/Cocktail,1.48, oz,Bitters,ml
97,Cocktail: Jaeger Bum Bum,"50 ml, Aperol",Alcohol/Cocktail,50,ml,Aperol,ml
98,Smoothie,"70.80 grams, Banana - (One)",Fruits,70.8,grams,Banana - (One),g
98,Smoothie,"30 g, Sandwich Baby Spinach",Vegetables,30,g,Sandwich Baby Spinach,g
98,Smoothie,"100 gram, Tropical Twist (frozen mango, pineapple &amp; papaya)",Fruits,100,gram,"Tropical Twist (Frozen Mango, Pineapple &Amp; Papaya)",g
98,Smoothie,"1 cup, Organic Oat",Other,1,cup,Organic Oat,cup
100,Kanda poha,"0.50 tsp, Black Mustard Seeds",Spices (Whole/Seeds),0.5,tsp,Black Mustard Seeds,tsp
100,Kanda poha,"4 g, Curry Leaves Green",Fresh Aromatics,4,g,Curry Leaves Green,g
100,Kanda poha,"0.50 Tsp (8 grams), Whole Cumin Seeds",Spices (Whole/Seeds),0.5,Tsp ( grams),Whole Cumin Seeds,tsp ( g)
100,Kanda poha,"0.50 medium lime, 1 Whole Lime",Spices (Whole/Seeds),0.5,medium lime,1 Whole Lime,medium lime
100,Kanda poha,"15 g, Finger Chillies",Vegetables,15,g,Finger Chillies,g
100,Kanda poha,"16 gram, Shredded&nbsp;Coconut",Nuts/Coconut,16,gram,Shredded Coconut,g
100,Kanda poha,"1 tsp(s), 100% Rapeseed Oil",Oils/Fats,1,tsp,Rapeseed Oil,tsp
100,Kanda poha,"105 gm, Medium Powa (Rice Flakes)",Grains/Flour,105,gm,Medium Powa (Rice Flakes),g
100,Kanda poha,"16 g, Red Skin Peanuts (Natural)",Nuts/Coconut,16,g,Red Skin Peanuts (Natural),g
100,Kanda poha,"0.50 tsp, Salt",Salt/Seasonings,0.5,tsp,Salt,tsp
100,Kanda poha,"90 g, Raw Onion",Vegetables,90,g,Onion,g
101,Bagara Baingan,"1 tsp(s), Coriander Seeds",Spices (Whole/Seeds),1,tsp,Coriander Seeds,tsp
101,Bagara Baingan,"1.50 cup (8 fl oz), Water",Liquids,1.5,cup ( fl oz),Water,cup
101,Bagara Baingan,"2 tbsp 15g, Desiccated Coconut",Nuts/Coconut,2,tbsp g,Desiccated Coconut,tbsp
101,Bagara Baingan,"4 tsp, Wet Seedless Tamarind",Spices (Whole/Seeds),4,tsp,Wet Seedless Tamarind,tsp
101,Bagara Baingan,"1 tsp, Ginger root - Raw",Fresh Aromatics,1,tsp,Fresh Ginger,tsp
101,Bagara Baingan,"3 g, Cloves, Whole",Spices (Whole/Seeds),3,g,"Cloves, Whole",g
101,Bagara Baingan,"400 g, Baby Aubergines",Vegetables,400,g,Baby Aubergines,g
101,Bagara Baingan,"18 gram, Sesame Seeds",Spices (Whole/Seeds),18,gram,Sesame Seeds,g
101,Bagara Baingan,"8 cm, Cinnamon Stick (Tree Bark)",Spices (Whole/Seeds),8,cm,Cinnamon Stick (Tree Bark),cm
101,Bagara Baingan,"0.50 tsp, whole, Spices, cumin seed",Spices (Whole/Seeds),0.5,tsp,Cumin Seed,tsp
101,Bagara Baingan,"2 pod whole, Black Cardamom Pod",Spices (Whole/Seeds),2,pod whole,Black Cardamom Pod,pod whole
101,Bagara Baingan,"150 grams, Onion",Vegetables,150,grams,Onion,g
101,Bagara Baingan,"1 tsp, Garlic",Fresh Aromatics,1,tsp,Garlic,tsp
101,Bagara Baingan,"0.50 tsp (.6 g), Black Peppercorns",Vegetables,0.5,tsp ( g),Black Peppercorns,tsp ( g)
101,Bagara Baingan,"3 tsp(s), 100% Rapeseed Oil",Oils/Fats,3,tsp,Rapeseed Oil,tsp
101,Bagara Baingan,"3 g, Medium Green Chillies",Vegetables,3,g,Medium Green Chillies,g
101,Bagara Baingan,"1 tsp, Salt",Salt/Seasonings,1,tsp,Salt,tsp
101,Bagara Baingan,"1 tsp(s), Poppy Seeds",Spices (Whole/Seeds),1,tsp,Poppy Seeds,tsp
101,Bagara Baingan,"0.50 tsp(s), Caraway Seeds Tea",Spices (Whole/Seeds),0.5,tsp,Caraway Seeds Tea,tsp
101,Bagara Baingan,"2 tbsp(s), Coriander (cilantro) leaves, raw",Fresh Aromatics,2,tbsp,Coriander (Cilantro) Leaves,tbsp
101,Bagara Baingan,"0.50 Tsp (8 grams), Whole Cumin Seeds",Spices (Whole/Seeds),0.5,Tsp ( grams),Whole Cumin Seeds,tsp ( g)
101,Bagara Baingan,"1 whole, Dried Whole Bay Leaf",Spices (Whole/Seeds),1,whole,Dried Whole Bay Leaf,whole
101,Bagara Baingan,"0.50 tsp(s), Spices, turmeric, ground",Spices (Powder),0.5,tsp,Ground Turmeric,tsp
101,Bagara Baingan,"1 tbsp(s), Coriander (cilantro) leaves, raw",Fresh Aromatics,1,tbsp,Coriander (Cilantro) Leaves,tbsp
101,Bagara Baingan,"30 g, Red Skin Peanuts (Natural)",Nuts/Coconut,30,g,Red Skin Peanuts (Natural),g
102,Beetroot Risotto,"296 g dry weight, Brown Rice, So Organic",Grains/Flour,296,g dry weight,"Brown Rice, So Organic",g dry weight
102,Beetroot Risotto,"1 cup chopped, White Onion",Vegetables,1,cup chopped,White Onion,cup chopped
102,Beetroot Risotto,"4 clove, Garlic",Fresh Aromatics,4,clove,Garlic,clove
102,Beetroot Risotto,"10 g, Butter",Oils/Fats,10,g,Butter,g
102,Beetroot Risotto,"1 tbsp, Olive Oil",Oils/Fats,1,tbsp,Olive Oil,tbsp
102,Beetroot Risotto,"500 g, Raw Beetroot",Vegetables,500,g,Beetroot,g
104,Cocktail: The Precision Timepiece,"0.50 tsp, orange bitters",Alcohol/Cocktail,0.5,tsp,Orange Bitters,tsp
104,Cocktail: The Precision Timepiece,"25 ml, Apéritif",Alcohol/Cocktail,25,ml,Apéritif,ml
104,Cocktail: The Precision Timepiece,"50 ml, 35 % Jägermeister",Alcohol/Cocktail,50,ml,35 % Jägermeister,ml
104,Cocktail: The Precision Timepiece,"0.50 tsp, Orange peel, raw",Citrus/Acid,0.5,tsp,Orange Peel,tsp
104,Cocktail: The Precision Timepiece,"25 ml, Montenegro (Generic)",Alcohol/Cocktail,25,ml,Montenegro (Generic),ml
105,Paneer bhurji,"200 g, Onion",Vegetables,200,g,Onion,g
105,Paneer bhurji,"2 tsp(s), 100% Rapeseed Oil",Oils/Fats,2,tsp,Rapeseed Oil,tsp
105,Paneer bhurji,"225 gram, Paneer",Dairy,225,gram,Paneer,g
105,Paneer bhurji,"1 tbsp, Cilantro",Fresh Aromatics,1,tbsp,Cilantro,tbsp
105,Paneer bhurji,"0.50 Tsp (8 grams), Whole Cumin Seeds",Spices (Whole/Seeds),0.5,Tsp ( grams),Whole Cumin Seeds,tsp ( g)
105,Paneer bhurji,"100 g, Grean peas",Vegetables,100,g,Grean Peas,g
105,Paneer bhurji,"5 g, Finger Chillies",Vegetables,5,g,Finger Chillies,g
105,Paneer bhurji,"0.50 tsp., Chilli Powder (Spice)",Spices (Powder),0.5,tsp,Chilli Powder (Spice),tsp
105,Paneer bhurji,"200 g, Tomatoes",Vegetables,200,g,Tomatoes,g
105,Paneer bhurji,"1 tsp, Salt",Salt/Seasonings,1,tsp,Salt,tsp
105,Paneer bhurji,"1.25 g, Coriander Cumin Powder",Spices (Powder),1.25,g,Coriander Cumin Powder,g
